what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1565256137038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1565256139147
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1565256139866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256142631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1565256144725
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256156897
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256159819
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256171131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256177178
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256182116
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256195959
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256196975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1565256202366
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1565256205803
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1565256212225
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1565256215178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1565256219303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1565256243928
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1565256245413
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1565256248975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1565256252256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1565256252928
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256258881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256263334
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1565256264600
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1565256267584
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1565256268491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256308850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256341616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256341647
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256343975
activated,perspective,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugPerspective",1565256344100
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1565256344194
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1565256345038
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1565256345350
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1565256345600
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1565256345631
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1565256345850
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256347491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256347491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256347569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256358319
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1565256360366
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1565256360506
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.Resume",1565256360647
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1565256360709
activated,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1565256360788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256362038
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1565256362038
